detected_at,type,id,name,field,old,new
2026-07-01 18:33:14,ADDED,1643640,"Ernest Udeh, Jr.",team,,CLE
2026-07-02 08:40:54,CHANGED,1642905,Yang Hansen,school,-,Zibo
2026-07-02 09:07:54,CHANGED,1642869,Noah Penda,school,-,Le Mans Sarthe
2026-07-02 09:59:54,CHANGED,1643407,Anicet Dybantsa,name,AJ Dybantsa,Anicet Dybantsa
2026-07-02 10:27:54,CHANGED,1643407,AJ Dybantsa,name,Anicet Dybantsa,AJ Dybantsa
2026-07-02 12:25:54,CHANGED,1643640,"Ernest Udeh, Jr.",country,,USA
2026-07-02 12:26:54,CHANGED,1643640,"Ernest Udeh, Jr.",country,USA,
2026-07-02 12:27:54,CHANGED,1643640,"Ernest Udeh, Jr.",country,,USA
2026-07-02 12:32:54,CHANGED,1642367,Jonathan Mogbo,team,TOR,SAC
2026-07-02 12:32:54,CHANGED,1643509,Meleek Thomas,number,,15
2026-07-02 12:32:54,CHANGED,1643640,"Ernest Udeh, Jr.",number,,39
2026-07-02 12:32:54,CHANGED,1643640,"Ernest Udeh, Jr.",position,,C
2026-07-02 12:32:54,CHANGED,1643640,"Ernest Udeh, Jr.",height,,6-11
2026-07-02 12:32:54,CHANGED,1643640,"Ernest Udeh, Jr.",weight,,266
2026-07-02 14:24:54,CHANGED,1643515,Christian Anderson Jr.,name,Christian Anderson,Christian Anderson Jr.
2026-07-02 14:34:55,CHANGED,1643515,Christian Anderson,name,Christian Anderson Jr.,Christian Anderson
2026-07-02 14:34:55,CHANGED,1643640,Ernest Udeh Jr.,name,"Ernest Udeh, Jr.",Ernest Udeh Jr.
2026-07-02 14:34:55,CHANGED,1643640,Ernest Udeh Jr.,school,Miami,Miami (FL)
2026-07-02 15:23:54,CHANGED,1642504,Cormac Ryan,school,North Carolina,UNC
2026-07-02 15:23:54,CHANGED,1641831,Malique Lewis,school,                                   ,Trinidad and Tobago
2026-07-02 15:23:54,CHANGED,1642881,Bogoljub Markovic,name,Bogoljub Marković,Bogoljub Markovic
2026-07-02 15:23:54,CHANGED,1642881,Bogoljub Markovic,school,-,Mega Basket (ABA)
2026-07-02 15:27:54,CHANGED,1643640,"Ernest Udeh, Jr.",name,Ernest Udeh Jr.,"Ernest Udeh, Jr."
2026-07-02 15:27:54,CHANGED,1643640,"Ernest Udeh, Jr.",school,Miami (FL),Miami
2026-07-02 15:27:54,CHANGED,1642504,Cormac Ryan,school,UNC,North Carolina
2026-07-02 15:27:54,CHANGED,1642881,Bogoljub Marković,name,Bogoljub Markovic,Bogoljub Marković
2026-07-02 17:24:54,REMOVED,1642362,Payton Sandfort,team,OKC,
2026-07-02 17:48:54,CHANGED,1642950,Lachlan Olbrich,school,Illawarra,UC Riverside
2026-07-02 17:48:54,CHANGED,1642917,Max Shulga,school,Virginia Commonwealth,VCU
2026-07-02 17:48:54,CHANGED,1642865,Yaxel Lendeborg,school,Alabama-Birmingham,Michigan
2026-07-02 17:57:54,CHANGED,1642948,Ryan Nembhard,school,Gonzaga,TCU
2026-07-02 18:30:54,CHANGED,1642917,Max Shulga,school,VCU,Virginia Commonwealth
2026-07-02 18:30:54,CHANGED,1642865,Yaxel Lendeborg,school,Michigan,Alabama-Birmingham
2026-07-02 18:30:54,CHANGED,1642950,Lachlan Olbrich,school,UC Riverside,Illawarra
2026-07-02 18:30:54,CHANGED,1642948,Ryan Nembhard,school,TCU,Gonzaga
2026-07-02 19:28:54,CHANGED,1642353,Cam Christie,number,0,24
2026-07-03 07:46:54,CHANGED,1643414,Christopher Brown Jr.,name,Mikel Brown Jr.,Christopher Brown Jr.
2026-07-03 08:28:54,CHANGED,1643414,Mikel Brown Jr.,name,Christopher Brown Jr.,Mikel Brown Jr.
2026-07-03 08:29:54,CHANGED,1643414,Christopher Brown Jr.,name,Mikel Brown Jr.,Christopher Brown Jr.
2026-07-03 08:30:54,CHANGED,1643414,Mikel Brown Jr.,name,Christopher Brown Jr.,Mikel Brown Jr.
2026-07-03 11:45:54,CHANGED,1641707,Taylor Hendricks,school,Central Florida,UCF
2026-07-03 11:45:54,CHANGED,1643510,Karim López,name,Karim Lopez,Karim López
2026-07-03 11:45:54,CHANGED,1643510,Karim López,school,-,New Zealand Breakers
2026-07-03 12:33:54,ADDED,1643621,Tre Donaldson,team,,MIA
2026-07-03 12:33:54,REMOVED,1629634,Brandon Clarke,team,MEM,
2026-07-03 12:33:54,CHANGED,1641707,Taylor Hendricks,school,UCF,Central Florida
2026-07-03 12:33:54,CHANGED,1643510,Karim Lopez,name,Karim López,Karim Lopez
2026-07-03 13:11:54,CHANGED,1643407,Anicet Dybantsa,name,AJ Dybantsa,Anicet Dybantsa
2026-07-03 13:32:54,ADDED,1643717,Josh Dix,team,,OKC
2026-07-03 13:32:54,CHANGED,1643407,AJ Dybantsa,name,Anicet Dybantsa,AJ Dybantsa
2026-07-03 13:33:54,REMOVED,1643717,Josh Dix,team,OKC,
2026-07-03 13:33:54,CHANGED,1643407,Anicet Dybantsa,name,AJ Dybantsa,Anicet Dybantsa
2026-07-03 13:34:54,ADDED,1643717,Josh Dix,team,,OKC
2026-07-03 13:34:54,CHANGED,1643407,AJ Dybantsa,name,Anicet Dybantsa,AJ Dybantsa
2026-07-03 14:33:54,ADDED,1643591,Tobe Awaka,team,,CHI
2026-07-03 14:33:54,ADDED,1642926,Tamar Bates,team,,UTA
2026-07-03 14:40:54,CHANGED,1630538,Bones Hyland,school,Virginia Commonwealth,Va Commonwealth
2026-07-03 15:32:54,REMOVED,1631250,Pete Nance,team,MIL,
2026-07-03 15:32:54,CHANGED,1630538,Bones Hyland,school,Va Commonwealth,Virginia Commonwealth
2026-07-03 15:51:54,CHANGED,1642853,Rasheer Fleming,school,St. Joseph's (PA),Saint Joseph's
2026-07-03 15:51:54,CHANGED,1643547,Sergio De Larrea,school,"Valencia, Spain",Valencia
2026-07-03 15:51:54,CHANGED,1643585,Vsevolod Ishchenko,school,-,Lokomotiv Kuban
2026-07-03 15:51:54,CHANGED,1643516,Morez Johnson Jr.,name,Morez Johnson,Morez Johnson Jr.
2026-07-03 16:35:10,CHANGED,1643547,Sergio De Larrea,school,Valencia,"Valencia, Spain"
2026-07-03 16:35:10,CHANGED,1642853,Rasheer Fleming,school,Saint Joseph's,St. Joseph's (PA)
2026-07-03 16:35:10,CHANGED,1643516,Morez Johnson,name,Morez Johnson Jr.,Morez Johnson
2026-07-03 21:16:54,CHANGED,1643024,Chris Manon,name,Chris Mañon,Chris Manon
2026-07-03 21:29:54,ADDED,1643637,Jaylin Sellers,team,,CHI
2026-07-03 21:29:54,CHANGED,1643024,Chris Mañon,name,Chris Manon,Chris Mañon
2026-07-04 09:31:54,ADDED,1643758,AK Okereke,team,,LAL
2026-07-04 09:31:54,ADDED,1643614,Peter Suder,team,,LAL
2026-07-04 14:31:54,CHANGED,1630311,Pat Spencer,team,GSW,PHX
2026-07-05 11:53:54,CHANGED,1643416,Christopher Cenac Jr.,name,Chris Cenac Jr.,Christopher Cenac Jr.
2026-07-05 12:33:54,CHANGED,1643416,Chris Cenac Jr.,name,Christopher Cenac Jr.,Chris Cenac Jr.
2026-07-05 12:34:54,CHANGED,1643416,Christopher Cenac Jr.,name,Chris Cenac Jr.,Christopher Cenac Jr.
2026-07-05 12:35:54,CHANGED,1643416,Chris Cenac Jr.,name,Christopher Cenac Jr.,Chris Cenac Jr.
2026-07-05 14:34:54,CHANGED,1631126,Caleb Love,team,POR,PHI
2026-07-05 14:35:54,CHANGED,1631126,Caleb Love,team,PHI,POR
2026-07-05 14:36:54,CHANGED,1631126,Caleb Love,team,POR,PHI
2026-07-06 08:34:54,ADDED,1642880,Kam Jones,team,,MIL
2026-07-06 08:34:54,REMOVED,1642366,Quinten Post,team,GSW,
2026-07-06 09:12:54,CHANGED,1643758,AK Okereke,school,-,Vanderbilt
2026-07-06 09:12:54,CHANGED,1643758,AK Okereke,country,,USA
2026-07-06 09:12:54,CHANGED,1643614,Peter Suder,school,Miami (OH),"Miami, Ohio"
2026-07-06 09:12:54,CHANGED,1643614,Peter Suder,country,,USA
2026-07-06 09:35:54,REMOVED,1630534,Ochai Agbaji,team,BKN,
2026-07-06 09:35:54,REMOVED,1630549,Day'Ron Sharpe,team,BKN,
2026-07-06 09:35:54,REMOVED,1631169,Josh Minott,team,BKN,
