detected_at,sheet,type,text
2026-07-05 16:46:57,MIN,ADDED,"Turner, Evan | 4 - CAP HOLD | 27909834.0 |  |  |  |  |  | 27909834"
2026-07-05 16:46:57,MIN,REMOVED,"Hyland, Bones | 4 - CAP HOLD | 2449421.0 |  |  |  |  |  | 2449421"
2026-07-05 16:46:57,MIN,ADDED,"Hyland, Bones | 1 - FULL SEASON | 2449421.0 |  |  |  |  |  | 2449421"
2026-07-05 16:46:57,MIN,REMOVED, |  |  |  |  |  |  |  | 0
2026-07-05 16:46:57,MIN,REMOVED,"TEAM SALARY (Art, I §1 (nnn)): |  | 260691838 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | 597232513.6"
2026-07-05 16:46:57,MIN,ADDED,"TEAM SALARY (Art, I §1 (nnn)): |  | 288601672 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | 625142347.6"
2026-07-05 16:46:57,MIN,REMOVED,Players Under Contract |  | 187981661 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | BOLD = Option Year
2026-07-05 16:46:57,MIN,REMOVED,"Full Season Contracts |  | 187981661 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | *=Projected Exten,,"
2026-07-05 16:46:57,MIN,ADDED,Players Under Contract |  | 190431082 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | BOLD = Option Year
2026-07-05 16:46:57,MIN,ADDED,"Full Season Contracts |  | 190431082 | 188783460.6 | 119308939 | 28448276 | 0 | 0 | *=Projected Exten,,"
2026-07-05 16:46:57,MIN,REMOVED,Cap Holds |  | 70060756 | 0 | 0 | 0 | 0 | 0
2026-07-05 16:46:57,MIN,ADDED,Cap Holds |  | 95521169 | 0 | 0 | 0 | 0 | 0
2026-07-05 16:46:57,MIN,REMOVED,"Avg, Salary (Mean) (ALL Compensation Obligations) |  |  | Players Under Contract |  | 8"
2026-07-05 16:46:57,MIN,REMOVED,"Avg, Salary (Mean) (No 10-Day K's) |  |  | Avaiable Spots |  | 7"
2026-07-05 16:46:57,MIN,REMOVED,"Avg, Salary (Mean) (No 10-Day K's & ROS) |  |  | Players to Reach Roster Min, |  | 5"
2026-07-05 16:46:57,MIN,ADDED,"Avg, Salary (Mean) (ALL Compensation Obligations) |  |  | Players Under Contract |  | 9"
2026-07-05 16:46:57,MIN,ADDED,"Avg, Salary (Mean) (No 10-Day K's) |  |  | Avaiable Spots |  | 6"
2026-07-05 16:46:57,MIN,ADDED,"Avg, Salary (Mean) (No 10-Day K's & ROS) |  |  | Players to Reach Roster Min, |  | 4"
2026-07-05 16:46:57,Luxury Tax Calculator,REMOVED,Luxury Tax | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 23501723 | 0 | 0 | 0 | 10706857.6 | 0 | 0 | 0 | 0 | 0 | 86661 | 435790.92 | 13065628 | 25800610 | 29970320.04 | 0 | 702276.5238 | 6712130.274 | 26574062 | 0 | 4133098.14 | 0 | 0
2026-07-05 16:46:57,Luxury Tax Calculator,REMOVED,1st Incremental Tax Bracket | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 17055000 | 0 | 0 | 0 | 5685000 | 0 | 0 | 0 | 0 | 0 | 86661 | 435790.92 | 5685000 | 5685000 | 5685000 | 0 | 2106829.571 | 5685000 | 5685000 | 0 | 4133098.14 | 0 | 0
2026-07-05 16:46:57,Luxury Tax Calculator,ADDED,Luxury Tax | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 23501723 | 0 | 0 | 0 | 10706857.6 | 0 | 0 | 0 | 0 | 0 | 2536082 | 435790.92 | 13065628 | 25800610 | 29970320.04 | 0 | 702276.5238 | 6712130.274 | 26574062 | 0 | 4133098.14 | 0 | 0
2026-07-05 16:46:57,Luxury Tax Calculator,ADDED,1st Incremental Tax Bracket | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 17055000 | 0 | 0 | 0 | 5685000 | 0 | 0 | 0 | 0 | 0 | 2536082 | 435790.92 | 5685000 | 5685000 | 5685000 | 0 | 2106829.571 | 5685000 | 5685000 | 0 | 4133098.14 | 0 | 0
2026-07-05 16:46:57,Luxury Tax Calculator,REMOVED,Tax Liability | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 110694991.8 | 0 | 0 | 0 | 11962322 | 0 | 0 | 0 | 0 | 0 | 86661 | 435790.92 | 18725948 | 75760702.5 | 98424340.23 | 0 | 2106829.571 | 6968912.843 | 79821325.5 | 0 | 4133098.14 | 0 | 0
