detected_at,date,type,description
2026-07-01 19:31:55,2026-07-01,Signing,Sacramento Kings signed forward Alex Karaban to a Rookie Scale Contract.
2026-07-01 19:40:55,2026-07-01,Signing,Sacramento Kings signed guard Darius Acuff Jr. to a Rookie Scale Contract.
2026-07-02 09:16:55,2026-07-02,Signing,Toronto Raptors signed forward Allen Graves to a Rookie Scale Contract.
2026-07-02 09:17:55,2026-03-04,Signing,Denver Nuggets signed forward David Roddy to a Two-Way Contract.
2026-07-02 09:18:55,2026-07-02,Signing,Toronto Raptors signed forward Allen Graves to a Rookie Scale Contract.
2026-07-02 09:45:55,2026-07-02,Signing,Washington Wizards signed forward Anicet Dybantsa to a Rookie Scale Contract.
2026-07-02 11:49:55,2026-07-02,Signing,Atlanta Hawks signed guard Kingston Flemings to a Rookie Scale Contract.
2026-07-02 12:17:55,2026-07-02,Signing,Sacramento Kings signed forward Jonathan Mogbo to a Two-Way Contract.
2026-07-02 12:17:55,2026-07-01,Signing,"Cleveland Cavaliers signed center Ernest Udeh, Jr. to a Two-Way Contract."
2026-07-02 12:18:55,2026-07-01,Signing,"Cleveland Cavaliers signed  Ernest Udeh, Jr. to a Two-Way Contract."
2026-07-02 12:18:55,2026-03-04,Signing,Memphis Grizzlies re-signed forward Olivier-Maxence Prosper to a Rest-of-Season Contract.
2026-07-02 12:20:55,2026-07-02,Signing,Sacramento Kings signed forward Jonathan Mogbo to a Two-Way Contract.
2026-07-02 12:20:55,2026-07-01,Signing,"Cleveland Cavaliers signed center Ernest Udeh, Jr. to a Two-Way Contract."
2026-07-02 12:41:55,2026-07-02,Signing,Miami Heat re-signed forward Simone Fontecchio to a Contract.
2026-07-02 14:09:55,2026-07-02,Signing,Minnesota Timberwolves re-signed forward Enrique Freeman to a Two-Way Contract.
2026-07-02 15:43:00,2026-07-02,Signing,Dallas Mavericks signed forward Morez Johnson to a Rookie Scale Contract.
2026-07-02 15:59:55,2026-07-02,Signing,Toronto Raptors re-signed guard Alijah Martin to a Contract.
2026-07-02 17:10:55,2026-07-02,Waive,Oklahoma City Thunder waived forward Payton Sandfort.
2026-07-02 17:43:55,2026-07-02,Signing,Detroit Pistons signed center Ugonna Onyenso to a Two-Way Contract.
2026-07-02 18:42:55,2026-07-02,Signing,Sacramento Kings re-signed guard Daeqwon Plowden to a Contract.
2026-07-02 19:02:58,2026-07-02,Signing,Los Angeles Lakers signed guard Cameron Carr to a Rookie Scale Contract.
2026-07-03 07:40:26,2026-07-02,Signing,Brooklyn Nets signed forward Tyler Bilodeau to a Two-Way Contract.
2026-07-03 07:40:26,2026-07-02,Signing,Brooklyn Nets signed guard Christopher Brown Jr. to a Rookie Scale Contract.
2026-07-03 10:19:56,2026-07-03,Signing,Toronto Raptors re-signed guard Alijah Martin to a Contract.
2026-07-03 12:21:55,2026-07-03,Signing,San Antonio Spurs signed guard Ja'Kobi Gillespie to a Two-Way Contract.
2026-07-03 12:21:55,2026-07-03,Signing,Miami Heat signed  Tre Donaldson to a Two-Way Contract.
2026-07-03 12:21:55,2026-07-03,Signing,San Antonio Spurs signed forward Maliq Brown to a Two-Way Contract.
2026-07-03 12:31:56,2026-07-03,Signing,San Antonio Spurs signed center Tarris Reed Jr. to a Rookie Scale Contract.
2026-07-03 12:40:55,2026-07-03,Signing,San Antonio Spurs signed forward Jayden Quaintance to a Rookie Scale Contract.
2026-07-03 13:00:55,2026-07-03,Signing,Oklahoma City Thunder signed guard Otega Oweh to a Two-Way Contract.
2026-07-03 13:09:55,2026-07-03,Signing,Oklahoma City Thunder re-signed guard Brooks Barnhizer to a Two-Way Contract.
2026-07-03 13:18:55,2026-07-03,Signing,Oklahoma City Thunder signed  Josh Dix to a Two-Way Contract.
2026-07-03 13:51:55,2026-07-03,Signing,Oklahoma City Thunder signed guard Bennett Stirtz to a Rookie Scale Contract.
2026-07-03 14:00:56,2026-07-03,Signing,Oklahoma City Thunder signed center Aday Mara to a Rookie Scale Contract.
2026-07-03 14:10:55,2026-07-03,Signing,Dallas Mavericks signed guard Sergio De Larrea to a Rookie Scale Contract.
2026-07-03 14:10:55,2026-07-03,Signing,Chicago Bulls signed forward Tobe Awaka to a Two-Way Contract.
2026-07-03 14:10:55,2026-07-03,Signing,Utah Jazz signed guard Tamar Bates to a Two-Way Contract.
2026-07-03 14:29:55,2026-07-03,Signing,Minnesota Timberwolves re-signed guard Bones Hyland to a Contract.
2026-07-03 14:30:55,2026-03-25,Signing,Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.
2026-07-03 14:31:55,2026-07-03,Signing,Minnesota Timberwolves re-signed guard Bones Hyland to a Contract.
2026-07-03 14:32:55,2026-03-25,Signing,Brooklyn Nets signed guard Malachi Smith to a 10-Day Contract.
2026-07-03 14:33:55,2026-07-03,Signing,Minnesota Timberwolves re-signed guard Bones Hyland to a Contract.
2026-07-03 14:42:55,2026-07-03,Signing,Philadelphia 76ers signed guard Labaron Philon to a Rookie Scale Contract.
2026-07-03 15:20:55,2026-07-03,Signing,Dallas Mavericks signed forward Tobi Lawal to a Two-Way Contract.
2026-07-03 15:20:55,2026-07-03,Waive,Milwaukee Bucks waived forward Pete Nance.
2026-07-03 20:34:56,2026-07-03,Signing,LA Clippers signed guard Keaton Wagler to a Rookie Scale Contract.
2026-07-03 20:43:55,2026-07-03,Signing,Chicago Bulls signed  Jaylin Sellers to a Two-Way Contract.
2026-07-03 20:53:55,2026-07-03,Signing,Chicago Bulls signed forward Dailyn Swain to a Rookie Scale Contract.
2026-07-03 21:02:55,2026-07-03,Signing,Los Angeles Lakers re-signed guard Chris Manon to a Two-Way Contract.
2026-07-03 21:02:55,2026-07-03,Signing,Chicago Bulls signed forward Caleb Wilson to a Rookie Scale Contract.
2026-07-04 08:44:57,2026-07-03,Signing,Los Angeles Lakers signed  Peter Suder to a Two-Way Contract.
2026-07-04 08:44:57,2026-07-03,Signing,Los Angeles Lakers signed  AK Okereke to a Two-Way Contract.
2026-07-04 14:11:55,2026-07-03,Signing,Phoenix Suns signed guard Pat Spencer to a Two-Way Contract.
2026-07-04 14:20:55,2026-07-04,Signing,Toronto Raptors signed guard Jaden Bradley to a Two-Way Contract.
2026-07-05 11:41:55,2026-07-05,Signing,Boston Celtics signed forward Christopher Cenac Jr. to a Rookie Scale Contract.
2026-07-05 11:42:55,2026-04-05,Signing,Golden State Warriors signed center Charles Bassey to a Rest-of-Season Contract.
2026-07-05 11:43:55,2026-07-05,Signing,Boston Celtics signed forward Christopher Cenac Jr. to a Rookie Scale Contract.
2026-07-05 14:24:55,2026-07-05,Signing,Philadelphia 76ers signed guard Caleb Love to a Two-Way Contract.
2026-07-06 07:58:55,2026-07-06,Signing,LA Clippers signed forward Nick Martinelli to a Two-Way Contract.
2026-07-06 08:04:55,2026-07-06,Signing,Milwaukee Bucks signed guard Brayden Burries to a Rookie Scale Contract.
2026-07-06 08:04:55,2026-07-02,Signing,Washington Wizards signed forward AJ Dybantsa to a Rookie Scale Contract.
2026-07-06 08:13:55,2026-07-06,Signing,Milwaukee Bucks signed guard Kam Jones to a Two-Way Contract.
2026-07-06 08:13:55,2026-07-05,Signing,LA Clippers signed forward Nick Martinelli to a Two-Way Contract.
2026-07-06 08:13:55,2026-07-05,Signing,Milwaukee Bucks signed guard Brayden Burries to a Rookie Scale Contract.
2026-07-06 09:01:55,2026-07-06,Signing,Charlotte Hornets signed forward Hannes Steinbach to a Rookie Scale Contract.
2026-07-06 09:01:55,2026-07-03,Signing,Los Angeles Lakers signed guard Peter Suder to a Two-Way Contract.
2026-07-06 09:01:55,2026-07-03,Signing,Los Angeles Lakers signed forward AK Okereke to a Two-Way Contract.
2026-07-06 09:12:55,2026-07-06,Signing,Charlotte Hornets signed guard Christian Anderson to a Rookie Scale Contract.
2026-07-06 09:34:55,2026-07-06,Trade,Atlanta Hawks received guard Aaron Wiggins from Oklahoma City Thunder.
2026-07-06 09:34:55,2026-07-06,Trade,Oklahoma City Thunder received draft consideration from Atlanta Hawks.
2026-07-06 09:43:55,2026-07-06,Signing,Philadelphia 76ers signed forward Dean Wade to a Contract.
2026-07-06 09:53:55,2026-07-06,Signing,Brooklyn Nets signed center Day'Ron Sharpe to a Contract.
2026-07-06 09:53:55,2026-07-06,Signing,Brooklyn Nets signed forward Josh Minott to a Contract.
2026-07-06 10:15:55,2026-07-06,Trade,Miami Heat received forward Bobby Portis from Milwaukee Bucks.
2026-07-06 10:15:55,2026-07-06,Trade,Miami Heat received forward Giannis Antetokounmpo from Milwaukee Bucks.
2026-07-06 10:15:55,2026-07-06,Trade,Milwaukee Bucks received guard Kasparas Jakucionis from Miami Heat.
2026-07-06 10:15:55,2026-07-06,Trade,Milwaukee Bucks received center Kel'el Ware from Miami Heat.
2026-07-06 10:15:55,2026-07-06,Trade,Milwaukee Bucks received guard Jaime Jaquez Jr. from Miami Heat.
2026-07-06 10:15:55,2026-07-06,Trade,Milwaukee Bucks received guard Tyler Herro from Miami Heat.
2026-07-06 10:15:55,2026-07-06,Trade,Milwaukee Bucks received draft consideration from Miami Heat.
2026-07-06 10:36:55,2026-07-06,Signing,Philadelphia 76ers signed guard Anfernee Simons to a Contract.
2026-07-06 10:53:55,2026-07-06,Trade,Boston Celtics received forward Paul George from Philadelphia 76ers.
2026-07-06 10:53:55,2026-07-06,Trade,Boston Celtics received draft consideration from Philadelphia 76ers.
2026-07-06 10:53:55,2026-07-06,Trade,Philadelphia 76ers received guard Jaylen Brown from Boston Celtics.
2026-07-06 12:15:55,2026-07-06,Signing,Detroit Pistons signed guard Ebuka Okorie to a Rookie Scale Contract.
2026-07-06 12:35:55,2026-07-06,Signing,Boston Celtics re-signed guard Ron Harper Jr. to a Contract.
2026-07-06 12:35:55,2026-07-06,Trade,Oklahoma City Thunder received draft consideration from Detroit Pistons.
2026-07-06 12:35:55,2026-07-06,Trade,Detroit Pistons received guard Isaiah Joe from Oklahoma City Thunder.
2026-07-06 12:43:55,2026-07-06,Signing,Boston Celtics re-signed center Neemias Queta to a Veteran Extension.
2026-07-06 12:43:55,2026-07-06,Signing,Miami Heat re-signed forward Andrew Wiggins to a Veteran Extension.
2026-07-06 12:54:55,2026-07-06,Signing,Golden State Warriors re-signed center Al Horford to a Contract.
2026-07-06 14:04:55,2026-07-06,Signing,Phoenix Suns re-signed guard Koby Brea to a Two-Way Contract.
2026-07-06 14:17:55,2026-07-06,Signing,Charlotte Hornets re-signed guard Coby White to a Contract.
2026-07-06 14:17:55,2026-07-06,Waive,Sacramento Kings waived guard DeMar DeRozan.
2026-07-06 14:17:55,2026-07-06,Waive,Charlotte Hornets waived forward Tosan Evbuomwan.
2026-07-06 14:45:55,2026-07-06,Signing,Toronto Raptors signed forward Kyle Anderson to a Contract.
2026-07-06 14:45:55,2026-07-06,Signing,Brooklyn Nets signed guard Keon Ellis to a Contract.
2026-07-06 14:56:55,2026-07-06,Signing,Charlotte Hornets signed guard Michael Ajayi to a Two-Way Contract.
2026-07-06 15:05:55,2026-07-06,Signing,Charlotte Hornets signed guard Kylan Boswell to a Two-Way Contract.
2026-07-06 15:19:56,2026-07-06,Signing,New York Knicks re-signed guard Jose Alvarado to a Contract.
2026-07-06 15:19:56,2026-07-06,Signing,New York Knicks re-signed forward Mohamed Diawara to a Contract.
2026-07-06 15:29:55,2026-07-06,Signing,New York Knicks signed center Andre Drummond to a Contract.
2026-07-06 15:56:55,2026-07-06,Signing,San Antonio Spurs signed forward Tobias Harris to a Contract.
2026-07-06 16:05:55,2026-07-06,Trade,Charlotte Hornets received forward Dorian Finney-Smith from Houston Rockets.
2026-07-06 16:05:55,2026-07-06,Trade,Charlotte Hornets received draft consideration from Houston Rockets.
2026-07-06 16:36:55,2026-07-06,Signing,Miami Heat signed guard Tim Hardaway Jr. to a Contract.
2026-07-06 17:18:55,2026-07-06,Signing,Philadelphia 76ers signed center Ariel Hukporti to a Contract.
2026-07-06 17:46:55,2026-07-06,Signing,Boston Celtics signed center Mitchell Robinson to a Contract.
2026-07-06 17:46:55,2026-07-06,Signing,New York Knicks re-signed guard Landry Shamet to a Contract.
2026-07-06 17:46:55,2026-07-06,Signing,Boston Celtics signed guard Mike Conley to a Contract.
2026-07-06 18:10:01,2026-07-02,Signing,Brooklyn Nets signed guard Mikel Brown Jr. to a Rookie Scale Contract.
2026-07-07 08:04:02,2026-07-06,Signing,LA Clippers signed forward Rui Hachimura to a Contract.
2026-07-07 08:04:02,2026-07-06,Signing,Washington Wizards re-signed guard Trae Young to a Contract.
2026-07-07 08:04:02,2026-07-06,Signing,Oklahoma City Thunder re-signed center Isaiah Hartenstein to a Contract.
2026-07-07 08:04:02,2026-07-06,Signing,Oklahoma City Thunder re-signed guard Kenrich Williams to a Contract.
2026-07-07 08:15:56,2026-07-07,Signing,Houston Rockets signed guard Bruce Thornton to a Contract.
2026-07-07 08:25:55,2026-07-03,Signing,Miami Heat signed guard Tre Donaldson to a Two-Way Contract.
2026-07-07 09:25:55,2026-07-07,Signing,Cleveland Cavaliers re-signed center Thomas Bryant to a Contract.
2026-07-07 09:56:55,2026-07-07,Signing,Phoenix Suns re-signed center Mark Williams to a Contract.
2026-07-07 09:56:55,2026-07-07,Signing,Phoenix Suns re-signed guard Jordan Goodwin to a Contract.
2026-07-07 10:25:55,2026-07-07,Signing,Phoenix Suns re-signed guard Collin Gillespie to a Contract.
2026-07-07 10:25:55,2026-07-07,Signing,Washington Wizards signed center Felix Okpara to a Two-Way Contract.
2026-07-07 11:45:55,2026-07-07,Signing,Sacramento Kings re-signed forward Precious Achiuwa to a Contract.
2026-07-07 13:17:55,2026-07-07,Signing,New Orleans Pelicans re-signed guard Trey Alexander to a Two-Way Contract.
2026-07-07 14:57:55,2026-07-07,Signing,Utah Jazz signed guard Trey Alexander to a Two-Way Contract.
2026-07-07 16:37:55,2026-07-07,Signing,LA Clippers re-signed guard Kobe Sanders to a Contract.
2026-07-07 17:10:55,2026-07-07,Trade,Los Angeles Lakers received guard Jaden Hardy from Washington Wizards.
2026-07-07 17:10:55,2026-07-07,Trade,Los Angeles Lakers received draft consideration from Washington Wizards.
2026-07-07 17:10:55,2026-07-07,Trade,Washington Wizards received center Deandre Ayton from Los Angeles Lakers.
2026-07-07 19:38:55,2026-07-07,Signing,New Orleans Pelicans re-signed center Hunter Dickinson to a Two-Way Contract.
2026-07-07 21:11:55,2026-07-07,Signing,Los Angeles Lakers signed forward Sandro Mamukelashvili to a Contract.
2026-07-07 21:11:55,2026-07-07,Signing,Los Angeles Lakers signed guard Quentin Grimes to a Contract.
2026-07-08 08:44:55,2026-07-08,Signing,Houston Rockets signed guard Quadir Copeland to a Two-Way Contract.
2026-07-08 08:44:55,2026-07-06,Trade,Miami Heat received forward Bobby Portis Jr. from Milwaukee Bucks.
2026-07-08 08:58:55,2026-07-08,Signing,Indiana Pacers signed forward Kelly Oubre Jr. to a Contract.
2026-07-08 09:16:55,2026-07-07,Signing,Houston Rockets signed guard Quadir Copeland to a Two-Way Contract.
2026-07-08 09:16:55,2026-07-07,Signing,Indiana Pacers signed forward Kelly Oubre Jr. to a Contract.
2026-07-08 09:56:55,2026-07-08,Trade,Dallas Mavericks received forward Santi Aldama from Memphis Grizzlies.
2026-07-08 09:56:55,2026-07-08,Trade,Dallas Mavericks received guard Marcus Sasser from Detroit Pistons.
2026-07-08 09:56:55,2026-07-08,Trade,LA Clippers received draft consideration from Detroit Pistons.
2026-07-08 09:56:55,2026-07-08,Trade,Memphis Grizzlies received guard AJ Johnson from Dallas Mavericks.
2026-07-08 09:56:55,2026-07-08,Trade,Memphis Grizzlies received draft consideration from Dallas Mavericks.
2026-07-08 09:56:55,2026-07-08,Trade,Memphis Grizzlies received guard D'Angelo Russell from Washington Wizards.
2026-07-08 09:56:55,2026-07-08,Trade,Memphis Grizzlies received draft consideration from Washington Wizards.
2026-07-08 09:56:55,2026-07-08,Trade,Memphis Grizzlies received forward Isaiah Stewart from Detroit Pistons.
2026-07-08 09:56:55,2026-07-08,Trade,Washington Wizards received forward Khris Middleton from Dallas Mavericks.
2026-07-08 09:56:55,2026-07-08,Trade,Washington Wizards received draft consideration from Dallas Mavericks.
2026-07-08 09:56:55,2026-07-08,Trade,Detroit Pistons received forward John Collins from LA Clippers.
2026-07-08 09:56:55,2026-07-08,Trade,Detroit Pistons received forward Taurean Prince from Milwaukee Bucks.
2026-07-08 09:56:55,2026-07-08,Trade,Detroit Pistons received guard Gary Harris from Milwaukee Bucks.
2026-07-08 09:56:55,2026-07-08,Trade,Detroit Pistons received draft consideration from Memphis Grizzlies.
2026-07-08 10:06:55,2026-07-08,Trade,Milwaukee Bucks received guard Caris LeVert from Detroit Pistons.
2026-07-08 10:46:55,2026-07-08,Trade,Milwaukee Bucks received draft consideration from Detroit Pistons.
2026-07-08 10:57:55,2026-07-08,Signing,San Antonio Spurs re-signed forward Harrison Barnes to a Contract.
2026-07-08 11:17:55,2026-07-05,Signing,Milwaukee Bucks signed guard Kam Jones to a Two-Way Contract.
2026-07-08 14:08:55,2026-07-08,Waive,Denver Nuggets waived center Jonas Valanciunas.
2026-07-08 14:08:55,2026-07-08,Waive,Indiana Pacers waived center Micah Potter.
2026-07-08 14:49:55,2026-07-08,Trade,Los Angeles Lakers received center Walker Kessler from Utah Jazz.
2026-07-08 14:49:55,2026-07-08,Trade,Utah Jazz received draft consideration from Los Angeles Lakers.
2026-07-08 17:42:55,2026-07-08,Signing,Houston Rockets signed guard Bogdan Bogdanovic to a Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Philadelphia 76ers signed guard Rayan Rupert to a Two-Way Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Memphis Grizzlies signed center Quinten Post to a Contract.
2026-07-08 17:52:55,2026-07-08,Signing,Milwaukee Bucks signed forward Nate Ament to a Rookie Scale Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Cleveland Cavaliers re-signed guard Donovan Mitchell to a Veteran Extension.
2026-07-09 09:17:07,2026-07-08,Signing,Detroit Pistons re-signed guard Javonte Green to a Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Detroit Pistons signed guard Elijah Harkless to a Two-Way Contract.
2026-07-09 09:17:07,2026-07-08,Signing,Milwaukee Bucks signed forward Pete Nance to a Contract.
2026-07-09 13:32:55,2026-07-09,Signing,Indiana Pacers signed forward Larry Nance Jr. to a Contract.
2026-07-09 13:40:55,2026-07-09,Signing,Indiana Pacers re-signed forward Kobe Brown to a Two-Way Contract.
2026-07-09 13:50:55,2026-07-09,Signing,Houston Rockets re-signed forward Tari Eason to a Contract.
2026-07-09 13:59:55,2026-07-09,Signing,Utah Jazz re-signed center Jusuf Nurkic to a Contract.
2026-07-09 14:49:55,2026-07-09,Waive,Boston Celtics waived forward Dalano Banton.
2026-07-09 15:10:55,2026-07-09,Signing,Golden State Warriors re-signed center Charles Bassey to a Contract.
2026-07-09 16:12:55,2026-07-09,Signing,Detroit Pistons re-signed guard Kevin Huerter to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,LA Clippers signed forward Baba Miller to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,Milwaukee Bucks re-signed forward Ousmane Dieng to a Contract.
2026-07-10 08:17:05,2026-07-09,Signing,LA Clippers re-signed guard Jordan Miller to a Contract.
2026-07-10 11:44:55,2026-07-09,Signing,Utah Jazz signed center Jaxson Hayes to a Contract.
2026-07-10 11:52:55,2026-07-09,Signing,Utah Jazz signed guard Josh Okogie to a Contract.
2026-07-10 13:10:55,2026-07-10,Signing,Dallas Mavericks signed forward Tarik Biberovic to a Contract.
2026-07-10 13:10:55,2026-07-10,Trade,Chicago Bulls received center Nic Claxton from Brooklyn Nets.
2026-07-10 13:10:55,2026-07-10,Trade,Minnesota Timberwolves received guard Josh Green from Charlotte Hornets.
2026-07-10 13:10:55,2026-07-10,Trade,Minnesota Timberwolves received guard LaMelo Ball from Charlotte Hornets.
2026-07-10 13:10:55,2026-07-10,Trade,Brooklyn Nets received forward Julius Randle from Minnesota Timberwolves.
2026-07-10 13:10:55,2026-07-10,Trade,Charlotte Hornets received forward Mouhamadou Gueye from Chicago Bulls.
